Moviepy - Building video output.mp4.
Moviepy - Writing video output.mp4

Moviepy - Done !
Moviepy - video ready output.mp4
         236133 function calls (232086 primitive calls) in 9.239 seconds

   Random listing order was used

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    0.000    0.000 context.py:20(TimeoutError)
        1    0.000    0.000    0.000    0.000 context.py:23(AuthenticationError)
        1    0.000    0.000    0.001    0.001 context.py:70(RLock)
        1    0.000    0.000    0.000    0.000 context.py:197(get_start_method)
        1    0.000    0.000    0.000    0.000 context.py:203(reducer)
        1    0.000    0.000    0.000    0.000 context.py:30(BaseContext)
        1    0.000    0.000    0.000    0.000 context.py:220(Process)
        1    0.000    0.000    0.000    0.000 context.py:233(__init__)
        1    0.000    0.000    0.000    0.000 context.py:237(get_context)
        1    0.000    0.000    0.000    0.000 context.py:230(DefaultContext)
        1    0.000    0.000    0.000    0.000 context.py:276(ForkProcess)
        1    0.000    0.000    0.000    0.000 context.py:283(SpawnProcess)
        1    0.000    0.000    0.000    0.000 context.py:295(ForkServerProcess)
        1    0.000    0.000    0.000    0.000 context.py:302(ForkContext)
        1    0.000    0.000    0.000    0.000 context.py:306(SpawnContext)
        1    0.000    0.000    0.000    0.000 context.py:310(ForkServerContext)
        1    0.000    0.000    0.001    0.001 context.py:1(<module>)
        3    0.000    0.000    0.000    0.000 process.py:37(current_process)
        2    0.000    0.000    0.000    0.000 process.py:189(name)
        1    0.000    0.000    0.000    0.000 process.py:71(BaseProcess)
        1    0.000    0.000    0.000    0.000 process.py:349(AuthenticationString)
        1    0.000    0.000    0.000    0.000 process.py:364(_ParentProcess)
        1    0.000    0.000    0.000    0.000 process.py:399(__init__)
        1    0.000    0.000    0.000    0.000 process.py:397(_MainProcess)
        1    0.000    0.000    0.000    0.000 process.py:1(<module>)
        5    0.000    0.000    0.000    0.000 reduction.py:43(register)
        1    0.000    0.000    0.000    0.000 reduction.py:33(ForkingPickler)
        1    0.000    0.000    0.000    0.000 reduction.py:211(_C)
        1    0.000    0.000    0.000    0.000 reduction.py:251(AbstractReducer)
        1    0.000    0.000    0.000    0.000 reduction.py:1(<module>)
       91    0.000    0.000    0.000    0.000 {method 'acquire' of '_multiprocessing.SemLock' objects}
       91    0.000    0.000    0.000    0.000 {method 'release' of '_multiprocessing.SemLock' objects}
        4    0.000    0.000    0.000    0.000 tools.py:100(<genexpr>)
     2597    0.008    0.000    0.018    0.000 tools.py:69(cvsecs)
2596/1298    0.006    0.000    6.040    0.005 Clip.py:77(get_frame)
     1298    0.003    0.000    6.037    0.005 Clip.py:136(<lambda>)
        1    0.000    0.000    0.008    0.008 Clip.py:95(fl)
     1298    0.010    0.000    6.184    0.005 Clip.py:442(iter_frames)
        1    0.000    0.000    0.000    0.000 ffmpeg_writer.py:68(__init__)
2596/1298    0.005    0.000    6.076    0.005 <decorator-gen-11>:1(get_frame)
        1    0.000    0.000    0.000    0.000 <decorator-gen-41>:1(iter_frames)
        1    0.000    0.000    0.000    0.000 <decorator-gen-42>:1(iter_frames)
        1    0.000    0.000    0.062    0.062 ffmpeg_reader.py:28(__init__)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:76(initialize)
     1296    0.004    0.000    0.004    0.000 ffmpeg_reader.py:107(skip_frames)
     1297    0.034    0.000    1.502    0.001 ffmpeg_reader.py:116(read_frame)
     1298    0.010    0.000    1.480    0.001 ffmpeg_reader.py:153(get_frame)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:188(close)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:285(<listcomp>)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:294(<listcomp>)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:319(get_tbr)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:367(<listcomp>)
        1    0.000    0.000    0.000    0.000 ffmpeg_reader.py:380(<listcomp>)
        1    0.000    0.000    0.026    0.026 ffmpeg_reader.py:229(ffmpeg_parse_infos)
        1    0.000    0.000    9.168    9.168 VideoClip.py:131(write_videofile)
     1298    0.005    0.000    6.034    0.005 VideoClip.py:490(<lambda>)
        1    0.000    0.000    0.008    0.008 VideoClip.py:484(fl_image)
        1    0.000    0.000    0.008    0.008 VideoClip.py:636(set_make_frame)
     1297    0.010    0.000    2.769    0.002 ffmpeg_writer.py:132(write_frame)
        1    0.000    0.000    0.174    0.174 ffmpeg_writer.py:182(close)
        1    0.000    0.000    0.000    0.000 ffmpeg_writer.py:193(__enter__)
        1    0.000    0.000    0.174    0.174 ffmpeg_writer.py:196(__exit__)
        1    0.039    0.039    9.166    9.166 ffmpeg_writer.py:199(ffmpeg_write_video)
        1    0.000    0.000    9.168    9.168 <decorator-gen-53>:1(write_videofile)
        1    0.000    0.000    9.168    9.168 <decorator-gen-54>:1(write_videofile)
        1    0.000    0.000    9.168    9.168 <decorator-gen-55>:1(write_videofile)
        1    0.000    0.000    0.008    0.008 <decorator-gen-61>:1(set_make_frame)
     1298    0.003    0.000    1.482    0.001 VideoFileClip.py:113(<lambda>)
        1    0.000    0.000    0.062    0.062 VideoFileClip.py:78(__init__)
        1    0.000    0.000    0.000    0.000 VideoClip.py:77(__init__)
        1    0.000    0.000    0.000    0.000 proglog.py:15(troncate_string)
        1    0.000    0.000    0.000    0.000 proglog.py:30(__init__)
     1299    0.003    0.000    0.003    0.000 proglog.py:39(log)
        1    0.000    0.000    0.000    0.000 proglog.py:125(__init__)
     6498    0.002    0.000    0.002    0.000 proglog.py:144(bars)
     1300    0.001    0.000    0.001    0.000 proglog.py:149(bar_is_ignored)
     1299    0.001    0.000    0.001    0.000 proglog.py:157(bar_is_logged)
        1    0.000    0.000    0.000    0.000 proglog.py:165(iterable_is_too_short)
     1298    0.024    0.000    0.105    0.000 proglog.py:192(new_iterable)
        1    0.000    0.000    0.001    0.001 proglog.py:169(iter_bar)
     1303    0.003    0.000    0.004    0.000 proglog.py:233(<lambda>)
     1303    0.028    0.000    0.082    0.000 proglog.py:231(__call__)
        1    0.000    0.000    0.000    0.000 proglog.py:301(<listcomp>)
        1    0.000    0.000    0.000    0.000 proglog.py:291(__init__)
        1    0.000    0.000    0.001    0.001 proglog.py:311(new_tqdm_bar)
        1    0.000    0.000    0.000    0.000 proglog.py:322(close_tqdm_bar)
     1299    0.005    0.000    0.030    0.000 proglog.py:328(bars_callback)
     1303    0.001    0.000    0.003    0.000 proglog.py:345(callback)
        3    0.000    0.000    0.000    0.000 proglog.py:378(default_bar_logger)
        1    0.000    0.000    0.000    0.000 _monitor.py:30(__init__)
        1    0.000    0.000    0.000    0.000 std.py:98(<listcomp>)
        1    0.000    0.000    0.002    0.002 std.py:90(__init__)
       91    0.000    0.000    0.001    0.000 std.py:102(acquire)
       91    0.000    0.000    0.000    0.000 std.py:106(release)
        4    0.000    0.000    0.000    0.000 std.py:110(__enter__)
        4    0.000    0.000    0.000    0.000 std.py:113(__exit__)
        1    0.000    0.000    0.002    0.002 std.py:116(create_mp_lock)
       83    0.000    0.000    0.000    0.000 std.py:153(__init__)
       83    0.000    0.000    0.000    0.000 std.py:163(colour)
       83    0.000    0.000    0.000    0.000 std.py:167(colour)
       83    0.000    0.000    0.000    0.000 std.py:186(__format__)
        3    0.000    0.000    0.000    0.000 std.py:226(__init__)
      493    0.001    0.000    0.001    0.000 std.py:231(__call__)
      165    0.000    0.000    0.001    0.000 std.py:400(format_interval)
       84    0.000    0.000    0.003    0.000 std.py:454(fp_write)
       84    0.000    0.000    0.005    0.000 std.py:460(print_status)
        1    0.000    0.000    0.000    0.000 std.py:441(status_printer)
       83    0.003    0.000    0.011    0.000 std.py:467(format_meter)
        1    0.000    0.000    0.000    0.000 std.py:666(__new__)
        1    0.000    0.000    0.000    0.000 std.py:685(<setcomp>)
        1    0.000    0.000    0.000    0.000 std.py:682(_get_free_pos)
        1    0.000    0.000    0.000    0.000 std.py:689(_decr_instances)
        4    0.000    0.000    0.002    0.000 std.py:719(write)
        8    0.000    0.000    0.002    0.000 std.py:728(external_write_mode)
        5    0.000    0.000    0.002    0.000 std.py:763(get_lock)
        1    0.000    0.000    0.001    0.001 std.py:953(__init__)
        1    0.000    0.000    0.000    0.000 std.py:1148(__del__)
       83    0.000    0.000    0.012    0.000 std.py:1151(__str__)
        2    0.000    0.000    0.000    0.000 std.py:1154(_comparable)
        2    0.000    0.000    0.000    0.000 std.py:1158(__hash__)
     1297    0.005    0.000    0.024    0.000 std.py:1199(update)
        2    0.000    0.000    0.000    0.000 std.py:1287(fp_write)
        2    0.000    0.000    0.000    0.000 std.py:1266(close)
       83    0.000    0.000    0.019    0.000 std.py:1326(refresh)
        2    0.000    0.000    0.000    0.000 std.py:1429(<genexpr>)
        1    0.000    0.000    0.000    0.000 std.py:1403(set_postfix)
       83    0.001    0.000    0.001    0.000 std.py:1447(format_dict)
       84    0.000    0.000    0.017    0.000 std.py:1465(display)
       83    0.000    0.000    0.000    0.000 utils.py:107(__init__)
       83    0.000    0.000    0.000    0.000 utils.py:111(__format__)
        1    0.000    0.000    0.000    0.000 utils.py:124(__eq__)
        2    0.000    0.000    0.000    0.000 utils.py:138(__getattr__)
        3    0.000    0.000    0.000    0.000 utils.py:151(wrapper_setattr)
        1    0.000    0.000    0.000    0.000 utils.py:155(__init__)
      170    0.000    0.000    0.002    0.000 utils.py:193(inner)
        2    0.000    0.000    0.000    0.000 utils.py:186(disable_on_exception)
        1    0.000    0.000    0.000    0.000 utils.py:212(__init__)
        2    0.000    0.000    0.000    0.000 utils.py:221(__eq__)
        1    0.000    0.000    0.000    0.000 utils.py:251(_is_utf)
        1    0.000    0.000    0.000    0.000 utils.py:265(_supports_unicode)
      166    0.000    0.000    0.001    0.000 utils.py:272(_is_ascii)
        1    0.000    0.000    0.000    0.000 utils.py:281(_screen_shape_wrapper)
        1    0.000    0.000    0.000    0.000 utils.py:332(_screen_shape_linux)
    28971    0.003    0.000    0.005    0.000 utils.py:374(<genexpr>)
      250    0.000    0.000    0.006    0.000 utils.py:373(_text_width)
      250    0.000    0.000    0.007    0.000 utils.py:377(disp_len)
       83    0.000    0.000    0.002    0.000 utils.py:385(disp_trim)
        1    0.000    0.000    0.000    0.000 Clip.py:58(copy)
        1    0.000    0.000    0.000    0.000 Clip.py:48(__init__)
        3    0.000    0.000    0.000    0.000 config.py:86(get_setting)
        1    0.000    0.000    9.168    9.168 decorators.py:17(convert_masks_to_RGB)
        1    0.000    0.000    0.008    0.008 decorators.py:10(outplace)
      2/1    0.000    0.000    9.168    9.168 decorators.py:47(requires_duration)
     2596    0.004    0.000    0.021    0.000 decorators.py:85(<listcomp>)
     2596    0.001    0.000    0.001    0.000 decorators.py:87(<dictcomp>)
2596/1298    0.015    0.000    6.073    0.005 decorators.py:78(wrapper)
        2    0.000    0.000    0.000    0.000 decorators.py:112(fun)
        2    0.000    0.000    0.000    0.000 decorators.py:130(<listcomp>)
      2/1    0.000    0.000    9.168    9.168 decorators.py:108(use_clip_fps_by_default)
